App;MedianMemory_MB;Pct95_Median_MB;Pct99_Median_MB;MeanSampleCount;SpikeFlag;LowSamplesFlag;AlwaysHighFlag
fddc63992d1485c91ec2d0ef814043233f14068a5100768251f1d487b5b7a88f;277.0;379.0;903.0;3121.0;True;False;False
e662545c1cf2d8f33150311558c8703df0abd0999514713ae59d0586c7021054;262.0;338.0;701.0;15858.4;True;False;False
5d2be402df9148b6ccf8e3c78a83ae41389fc059a3797756fc6a1161a8982122;257.5;419.0;935.0;11713.5;True;False;False
5094bef698663949be0de9c867072e2a795bf9adbe476c0b5d93cd0d732a7768;247.0;387.0;885.0;24150.428571428572;True;False;False
365f154f100853aa290ad0bde1132ba853294dd1828168d1a0055f8d82a6b159;240.5;355.0;730.0;228830.66666666666;True;False;False
2de6fdc9fe26c40830ae0163ffedeff1219c30d9c8ae05775b8fd0913cf12f5f;230.5;400.5;899.0;74776.75;True;False;False
844c61026d166763d962ff193143ac898566bee16546806ea1f5587fd937254c;227.0;264.5;538.5;5912.5;True;False;False
b4fc2ae1b7806ad5fe86b5c6addbc498354c9f52c603f37b68485e4692ea6d9b;225.5;310.5;1153.5;26924.25;True;False;False
483621e45c2b0dccf0ad0ca1ce32acf207f8578585a415e69603f415f35e5788;212.0;219.0;457.0;21966.0;True;False;False
21aa914cb50e7c2a85e44386170ce5c782aa1ad0227cac03e83d800ae718c9fd;208.0;502.5;1080.5;52662.333333333336;True;False;False
652c7188f422fac1fb76321fa36b23b7077c4b1db23d83263d7b71d795c85ea6;205.5;235.0;586.5;16431.166666666668;True;False;False
2eccdc3db8e0f73bd6a82c8d858aeef97687efeac8b6c6df91c0218835bcc705;205.0;248.0;538.0;2253.0;True;False;False
539b96bee834188ca431401fe7aaf081ea45deaa2a1f598115841021fb7cae7c;204.0;375.0;1293.5;20297.75;True;False;False
0766dbd41e3428ca28b66cf958417d6529bc7b93f0f6fbc059524e9d637618a9;194.0;366.0;907.0;4606.0;True;False;False
