Metric;Value
Owner totali;14681
App totali;24274
Funzioni totali;72359
Funzioni con durations;71597
Funzioni senza durations;762
App con memory;23431
App senza memory;843
Minuto di picco invocazioni;14:8
Minuto minimo invocazioni;4:27
Top 3 funzioni più invocate;['8203ff88388384a6f9ed28664e8e9484119ff340cb7dc0811a15194b3a507f0e', '5315be05fc3b21a3f483ed0759bce825764dcf8a762623a1d94ff63f9d9ce4cc', 'dd833bb70b3a57caaa6b4e4560975d9ba5a77fd0151e13d1b5f30b4f6c381d5c']
Top 3 app più invocate;['94409f2485ebd997a61cbd06906595e4f3ef1846ed7406f9e3fa03cfa4d5060a', '734bb9a04a1d2e6917f75e46c093a6c95d114970e624b9975b98bad86c12f14b', '4b75f2532af503341fd11268d543ad0119dd2e8950a022f2851b4a5d0c8a5e0a']
Top 3 funzioni più lente (mediana ms);{'0ab944f5c72a4b9f807931d23f704cfaf8296477f3c4a64fe77807280fcd5c6c': 886277.0, '1e5bfcc662ff982b62ca347d1058f43780275234da00b4b5162e6a887d82a56a': 650456.0, 'd3209b753752c8641cde05ba81b3ceb0d175b1f986fee7872a9368cd16d18120': 644505.0}
Top 3 app più lente (mediana ms);{'260f92380d3593ad674a83c99de3cd37d0478ed2bc1e6d08b7e2bed55a4080eb': 886277.0, 'ee2f53f89a35c322a948262c5b545eb46df8ca96d47754b900765d1a46d9a285': 650456.0, 'e9ff3d74fbb5d65360c2e37216460990c39cd06bc4a409d2ab6f5c0e588c026a': 602960.0}
Top 10 app per memoria mediana (MB);{'bd35c5fc19219ff09b493a045695512d3dced53e365a4047daf6379eaab0abad': 1366.0, '07a217a2813f9196d75ba1f5b1dea208f89b4113123eaa338326a3f8876fae99': 1130.5, '1055ce9522214dfedb4d8571b02849b3496521b9b5840fc9d1fa7d4bf472e601': 1097.0, '911242ef93348b8eb9c33475afac73cc18f87ce4707510a6312bcf91c161f5b9': 1048.0, '60393a5c156c1905114e7104d51cff90fbf6ca7068c96492a18ff1dd13e5becc': 991.5, '38d83139ee29a31131a033865f3ef7f1e9f35034e6271328f74204943f9eccfb': 986.5, '93147c26bad175e99e0911bf3bf3c4100528aba2df92ebdde7f9a7c24ad938f5': 974.0, '6267277a3b45fd33fd0ec553640d4c7e346468739a2c63171e844d8103fe8122': 950.5, 'ef772dfef479f860c994db2efbf393b2ddd2cbbc4ccaf60cd614c67859b5c4dc': 939.0, '5d717bfcb7a9c4ce806f6fdd4c3fc80e6fef23b9e37765a107a3bb2e01f89983': 933.0}
Anomalie memoria rilevate;165
