App;MedianMemory_MB
bd35c5fc19219ff09b493a045695512d3dced53e365a4047daf6379eaab0abad;1366.0
07a217a2813f9196d75ba1f5b1dea208f89b4113123eaa338326a3f8876fae99;1130.5
1055ce9522214dfedb4d8571b02849b3496521b9b5840fc9d1fa7d4bf472e601;1097.0
911242ef93348b8eb9c33475afac73cc18f87ce4707510a6312bcf91c161f5b9;1048.0
60393a5c156c1905114e7104d51cff90fbf6ca7068c96492a18ff1dd13e5becc;991.5
38d83139ee29a31131a033865f3ef7f1e9f35034e6271328f74204943f9eccfb;986.5
93147c26bad175e99e0911bf3bf3c4100528aba2df92ebdde7f9a7c24ad938f5;974.0
6267277a3b45fd33fd0ec553640d4c7e346468739a2c63171e844d8103fe8122;950.5
ef772dfef479f860c994db2efbf393b2ddd2cbbc4ccaf60cd614c67859b5c4dc;939.0
5d717bfcb7a9c4ce806f6fdd4c3fc80e6fef23b9e37765a107a3bb2e01f89983;933.0
